IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
103.184.45.124,2053,true,SJC,North America,San Jose,213 ms,2220 kB/s
103.184.45.244,2053,true,SJC,North America,San Jose,172 ms,2217 kB/s
103.184.45.127,2053,true,SJC,North America,San Jose,229 ms,2207 kB/s
103.184.45.39,2053,true,SJC,North America,San Jose,171 ms,2202 kB/s
103.184.45.64,2053,true,SJC,North America,San Jose,205 ms,2184 kB/s
103.184.45.148,2053,true,SJC,North America,San Jose,185 ms,2164 kB/s
103.184.45.108,2053,true,SJC,North America,San Jose,224 ms,2028 kB/s
103.184.45.65,2053,true,SJC,North America,San Jose,197 ms,2027 kB/s
103.184.45.239,2053,true,SJC,North America,San Jose,169 ms,2021 kB/s
103.184.45.126,2053,true,SJC,North America,San Jose,222 ms,2011 kB/s
103.184.45.171,2053,true,SJC,North America,San Jose,184 ms,1991 kB/s
103.184.45.177,2053,true,SJC,North America,San Jose,163 ms,1951 kB/s
103.184.45.162,2053,true,SJC,North America,San Jose,171 ms,1939 kB/s
103.184.45.47,2053,true,SJC,North America,San Jose,179 ms,1936 kB/s
103.184.45.23,2053,true,SJC,North America,San Jose,172 ms,1933 kB/s
103.184.45.99,2053,true,SJC,North America,San Jose,222 ms,1925 kB/s
103.184.45.12,2053,true,SJC,North America,San Jose,163 ms,1919 kB/s
103.184.45.43,2053,true,SJC,North America,San Jose,179 ms,1913 kB/s
103.184.45.186,2053,true,SJC,North America,San Jose,197 ms,1902 kB/s
103.184.45.56,2053,true,SJC,North America,San Jose,185 ms,1897 kB/s
103.184.45.2,2053,true,SJC,North America,San Jose,156 ms,1888 kB/s
103.184.45.60,2053,true,SJC,North America,San Jose,204 ms,1882 kB/s
103.184.45.174,2053,true,SJC,North America,San Jose,185 ms,1871 kB/s
103.184.45.195,2053,true,SJC,North America,San Jose,191 ms,1866 kB/s
103.184.45.150,2053,true,SJC,North America,San Jose,203 ms,1865 kB/s
103.184.45.169,2053,true,SJC,North America,San Jose,178 ms,1860 kB/s
103.184.45.35,2053,true,SJC,North America,San Jose,158 ms,1848 kB/s
103.184.45.17,2053,true,SJC,North America,San Jose,173 ms,1844 kB/s
103.184.45.94,2053,true,SJC,North America,San Jose,229 ms,1837 kB/s
103.184.45.42,2053,true,SJC,North America,San Jose,188 ms,1827 kB/s
103.184.45.200,2053,true,SJC,North America,San Jose,152 ms,1822 kB/s
103.184.45.156,2053,true,SJC,North America,San Jose,186 ms,1818 kB/s
103.184.45.144,2053,true,SJC,North America,San Jose,203 ms,1810 kB/s
103.184.45.55,2053,true,SJC,North America,San Jose,165 ms,1804 kB/s
103.184.45.159,2053,true,SJC,North America,San Jose,191 ms,1802 kB/s
103.184.45.9,2053,true,SJC,North America,San Jose,162 ms,1777 kB/s
103.184.45.25,2053,true,SJC,North America,San Jose,176 ms,1765 kB/s
103.184.45.125,2053,true,SJC,North America,San Jose,214 ms,1742 kB/s
103.184.45.57,2053,true,SJC,North America,San Jose,181 ms,1736 kB/s
103.184.45.20,2053,true,SJC,North America,San Jose,160 ms,1735 kB/s
103.184.45.213,2053,true,SJC,North America,San Jose,156 ms,1734 kB/s
103.184.45.147,2053,true,SJC,North America,San Jose,172 ms,1732 kB/s
103.184.45.114,2053,true,SJC,North America,San Jose,223 ms,1728 kB/s
103.184.45.202,2053,true,SJC,North America,San Jose,159 ms,1728 kB/s
103.184.45.117,2053,true,SJC,North America,San Jose,213 ms,1726 kB/s
103.184.45.109,2053,true,SJC,North America,San Jose,214 ms,1721 kB/s
103.184.45.103,2053,true,SJC,North America,San Jose,183 ms,1721 kB/s
103.184.45.190,2053,true,SJC,North America,San Jose,204 ms,1718 kB/s
103.184.45.180,2053,true,SJC,North America,San Jose,190 ms,1717 kB/s
103.184.45.214,2053,true,SJC,North America,San Jose,172 ms,1707 kB/s
103.184.45.158,2053,true,SJC,North America,San Jose,203 ms,1692 kB/s
103.184.45.237,2053,true,SJC,North America,San Jose,169 ms,1692 kB/s
103.184.45.36,2053,true,SJC,North America,San Jose,156 ms,1677 kB/s
103.184.45.46,2053,true,SJC,North America,San Jose,175 ms,1668 kB/s
103.184.45.37,2053,true,SJC,North America,San Jose,157 ms,1660 kB/s
103.184.45.123,2053,true,SJC,North America,San Jose,223 ms,1659 kB/s
103.184.45.33,2053,true,SJC,North America,San Jose,168 ms,1650 kB/s
103.184.45.183,2053,true,SJC,North America,San Jose,205 ms,1647 kB/s
103.184.45.219,2053,true,SJC,North America,San Jose,161 ms,1646 kB/s
103.184.45.188,2053,true,SJC,North America,San Jose,183 ms,1630 kB/s
103.184.45.168,2053,true,SJC,North America,San Jose,197 ms,1629 kB/s
103.184.45.93,2053,true,SJC,North America,San Jose,222 ms,1601 kB/s
103.184.45.121,2053,true,SJC,North America,San Jose,215 ms,1594 kB/s
103.184.45.105,2053,true,SJC,North America,San Jose,204 ms,1590 kB/s
103.184.45.31,2053,true,SJC,North America,San Jose,164 ms,1582 kB/s
103.184.45.21,2053,true,SJC,North America,San Jose,166 ms,1571 kB/s
103.184.45.228,2053,true,SJC,North America,San Jose,170 ms,1566 kB/s
103.184.45.49,2053,true,SJC,North America,San Jose,196 ms,1564 kB/s
103.184.45.151,2053,true,SJC,North America,San Jose,197 ms,1554 kB/s
103.184.45.178,2053,true,SJC,North America,San Jose,178 ms,1545 kB/s
103.184.45.185,2053,true,SJC,North America,San Jose,203 ms,1541 kB/s
103.184.45.15,2053,true,SJC,North America,San Jose,160 ms,1541 kB/s
103.184.45.82,2053,true,SJC,North America,San Jose,205 ms,1538 kB/s
103.184.45.172,2053,true,SJC,North America,San Jose,186 ms,1510 kB/s
103.184.45.72,2053,true,SJC,North America,San Jose,190 ms,1504 kB/s
103.184.45.112,2053,true,SJC,North America,San Jose,212 ms,1504 kB/s
103.184.45.154,2053,true,SJC,North America,San Jose,173 ms,1493 kB/s
103.184.45.74,2053,true,SJC,North America,San Jose,197 ms,1492 kB/s
103.184.45.173,2053,true,SJC,North America,San Jose,196 ms,1491 kB/s
103.184.45.59,2053,true,SJC,North America,San Jose,203 ms,1487 kB/s
103.184.45.118,2053,true,SJC,North America,San Jose,213 ms,1471 kB/s
103.184.45.26,2053,true,SJC,North America,San Jose,167 ms,1468 kB/s
103.184.45.139,2053,true,SJC,North America,San Jose,205 ms,1467 kB/s
103.184.45.184,2053,true,SJC,North America,San Jose,197 ms,1465 kB/s
103.184.45.175,2053,true,SJC,North America,San Jose,196 ms,1465 kB/s
103.184.45.85,2053,true,SJC,North America,San Jose,222 ms,1465 kB/s
103.184.45.134,2053,true,SJC,North America,San Jose,203 ms,1461 kB/s
103.184.45.48,2053,true,SJC,North America,San Jose,191 ms,1448 kB/s
103.184.45.44,2053,true,SJC,North America,San Jose,178 ms,1446 kB/s
103.184.45.8,2053,true,SJC,North America,San Jose,175 ms,1444 kB/s
103.184.45.97,2053,true,SJC,North America,San Jose,223 ms,1429 kB/s
103.184.45.71,2053,true,SJC,North America,San Jose,186 ms,1426 kB/s
103.184.45.251,2053,true,SJC,North America,San Jose,169 ms,1420 kB/s
103.184.45.116,2053,true,SJC,North America,San Jose,212 ms,1411 kB/s
103.184.45.6,2053,true,SJC,North America,San Jose,173 ms,1383 kB/s
103.184.45.27,2053,true,SJC,North America,San Jose,172 ms,1370 kB/s
103.184.45.61,2053,true,SJC,North America,San Jose,205 ms,1354 kB/s
103.184.45.70,2053,true,SJC,North America,San Jose,164 ms,1351 kB/s
103.184.45.166,2053,true,SJC,North America,San Jose,196 ms,1344 kB/s
103.184.45.83,2053,true,SJC,North America,San Jose,213 ms,1319 kB/s
103.184.45.212,2053,true,SJC,North America,San Jose,161 ms,1297 kB/s
103.184.45.111,2053,true,SJC,North America,San Jose,222 ms,1266 kB/s
103.184.45.75,2053,true,SJC,North America,San Jose,222 ms,1253 kB/s
103.184.45.87,2053,true,SJC,North America,San Jose,214 ms,1251 kB/s
103.184.45.34,2053,true,SJC,North America,San Jose,178 ms,1249 kB/s
103.184.45.224,2053,true,SJC,North America,San Jose,166 ms,1241 kB/s
103.184.45.29,2053,true,SJC,North America,San Jose,162 ms,1241 kB/s
103.184.45.80,2053,true,SJC,North America,San Jose,203 ms,1241 kB/s
103.184.45.88,2053,true,SJC,North America,San Jose,202 ms,1208 kB/s
103.184.45.218,2053,true,SJC,North America,San Jose,164 ms,1198 kB/s
103.184.45.220,2053,true,SJC,North America,San Jose,153 ms,1186 kB/s
103.184.45.146,2053,true,SJC,North America,San Jose,175 ms,1169 kB/s
103.184.45.86,2053,true,SJC,North America,San Jose,222 ms,1145 kB/s
103.184.45.194,2053,true,SJC,North America,San Jose,191 ms,1116 kB/s
103.184.45.120,2053,true,SJC,North America,San Jose,223 ms,1111 kB/s
103.184.45.19,2053,true,SJC,North America,San Jose,162 ms,1098 kB/s
103.184.45.107,2053,true,SJC,North America,San Jose,222 ms,1096 kB/s
103.184.45.206,2053,true,SJC,North America,San Jose,164 ms,1093 kB/s
103.184.45.41,2053,true,SJC,North America,San Jose,188 ms,1093 kB/s
103.184.45.179,2053,true,SJC,North America,San Jose,187 ms,1075 kB/s
103.184.45.45,2053,true,SJC,North America,San Jose,183 ms,1073 kB/s
103.184.45.81,2053,true,SJC,North America,San Jose,214 ms,1064 kB/s
103.184.45.77,2053,true,SJC,North America,San Jose,229 ms,1064 kB/s
103.184.45.79,2053,true,SJC,North America,San Jose,223 ms,1048 kB/s
103.184.45.207,2053,true,SJC,North America,San Jose,159 ms,1047 kB/s
103.184.45.248,2053,true,SJC,North America,San Jose,172 ms,1038 kB/s
103.184.45.227,2053,true,SJC,North America,San Jose,162 ms,1029 kB/s
103.184.45.197,2053,true,SJC,North America,San Jose,196 ms,1020 kB/s
103.184.45.201,2053,true,SJC,North America,San Jose,162 ms,1006 kB/s
103.184.45.221,2053,true,SJC,North America,San Jose,154 ms,972 kB/s
103.184.45.7,2053,true,SJC,North America,San Jose,168 ms,970 kB/s
103.184.45.242,2053,true,SJC,North America,San Jose,170 ms,970 kB/s
103.184.45.215,2053,true,SJC,North America,San Jose,165 ms,947 kB/s
103.184.45.68,2053,true,SJC,North America,San Jose,213 ms,927 kB/s
103.184.45.51,2053,true,SJC,North America,San Jose,179 ms,918 kB/s
103.184.45.210,2053,true,SJC,North America,San Jose,160 ms,865 kB/s
103.184.45.137,2053,true,SJC,North America,San Jose,206 ms,600 kB/s
103.184.45.69,2053,true,SJC,North America,San Jose,214 ms,453 kB/s
103.184.45.252,2053,true,SJC,North America,San Jose,170 ms,365 kB/s
103.184.45.209,2053,true,SJC,North America,San Jose,157 ms,0 kB/s
103.184.45.216,2053,true,SJC,North America,San Jose,159 ms,0 kB/s
103.184.45.223,2053,true,SJC,North America,San Jose,164 ms,0 kB/s
103.184.45.187,2053,true,SJC,North America,San Jose,212 ms,0 kB/s
103.184.45.225,2053,true,SJC,North America,San Jose,162 ms,0 kB/s
